,Bronze,Silver,Gold,Diamond
EUR,1000,3000,6000,10000
Conference dinner & one keynote speaker announced in your name,,,,X
Mailing list for attendees who opt in to receive communications,,,,X
One networking poster session announced in your name,,,X,
Space for an exhibition booth,,,one day,all days
Guarantee to present a poster (abstract submission required),X,X,,
Free registration(s),0,1,2,3
Promotion of your company on our social media platforms,,X,X,X
Logo on website and in all promotional material,standard,standard,large,eminent
Thank you posts on our social media platforms,X,X,X,X
