date,time,type,author,title,info,color
2027-09-07,17:00,Welcome reception,,,,#FDE3F1
2027-09-08,09:00,Opening,Organizing committee,Welcome to EuroBioC,,
2027-09-08,09:15,Keynote,,,,#E3F2FD
2027-09-08,09:55,Short talks,,,,
2027-09-08,10:35,Break,,,,#FFF9C4
2027-09-08,11:00,Keynote,,,,#E3F2FD
2027-09-08,11:40,Short talks,,,,
2027-09-08,12:20,Group photo,,,,#FFF9C4
2027-09-08,12:35,Lunch,,,,#FFF9C4
2027-09-08,13:40,Workshops,,,,
2027-09-08,15:00,Break,,,,#FFF9C4
2027-09-08,15:15,Panel discussion,,,,
2027-09-08,16:15,Poster pitches,,,,
2027-09-08,17:00,Poster session,,,,
2027-09-08,19:00,Conference dinner,,,,#FDE3F1
2027-09-09,09:00,Keynote,,,,#E3F2FD
2027-09-09,09:40,Short talks,,,,
2027-09-09,10:30,Break,,,,#FFF9C4
2027-09-09,11:00,Keynote,,,,#E3F2FD
2027-09-09,11:40,Short talks,,,,
2027-09-09,12:30,Lunch,,,,#FFF9C4
2027-09-09,13:30,Workshops,,,,
2027-09-09,14:50,Break,,,,#FFF9C4
2027-09-09,15:10,Short talks,,,,
2027-09-09,15:50,Poster pitches,,,,
2027-09-09,16:30,Poster session,,,,
2027-09-09,19:00,Walking tour,,,,#FDE3F1
2027-09-10,09:00,Short talks,,,
2027-09-10,09:50,Keynote,,,,#E3F2FD
2027-09-10,10:30,Break,,,,#FFF9C4
2027-09-10,11:00,BoF sessions,,,,
2027-09-10,12:10,Flash talks,,,,
2027-09-10,12:50,Closing,Organizing committee,,,
2027-09-10,13:00,Lunch,,,,#FFF9C4
